CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime,
0,1,596,556,0,
43,2,222,182,0,
86,3,123,83,0,
129,4,209,169,0,
172,5,609,569,0,
215,6,814,774,0,
258,7,204,164,0,
301,8,308,268,0,
344,9,333,293,0,
387,1,556,516,0,
430,2,182,142,0,
473,3,83,43,0,
516,4,169,129,0,
559,5,569,529,0,
602,6,774,734,0,
645,7,164,124,0,
688,8,268,228,0,
731,9,293,253,0,
774,1,516,476,0,
817,2,142,102,0,
860,3,43,3,0,
903,4,129,89,0,
946,5,529,489,0,
989,6,734,694,0,
1032,7,124,84,0,
1075,8,228,188,0,
1118,9,253,213,0,
1161,1,476,436,0,
1204,2,102,62,0,
1247,3,3,0,1250,
1253,8,188,148,0,
1296,9,213,173,0,
1339,1,436,396,0,
1382,2,62,22,0,
1425,4,89,49,0,
1468,5,489,449,0,
1511,6,694,654,0,
1554,7,84,44,0,
1597,8,148,108,0,
1640,9,173,133,0,
1683,1,396,356,0,
1726,2,22,0,1748,
1751,1,356,316,0,
1794,4,49,9,0,
1837,5,449,409,0,
1880,6,654,614,0,
1923,7,44,4,0,
1966,8,108,68,0,
2009,9,133,93,0,
2052,1,316,276,0,
2095,4,9,0,2104,
2107,7,4,0,2111,
2114,6,614,574,0,
2157,8,68,28,0,
2200,9,93,53,0,
2243,1,276,236,0,
2286,5,409,369,0,
2329,6,574,534,0,
2372,8,28,0,2400,
2403,9,53,13,0,
2446,1,236,196,0,
2489,5,369,329,0,
2532,6,534,494,0,
2575,9,13,0,2588,
2591,5,329,289,0,
2634,6,494,454,0,
2677,1,196,156,0,
2720,5,289,249,0,
2763,6,454,414,0,
2806,1,156,116,0,
2849,5,249,209,0,
2892,6,414,374,0,
2935,1,116,76,0,
2978,5,209,169,0,
3021,6,374,334,0,
3064,1,76,36,0,
3107,5,169,129,0,
3150,6,334,294,0,
3193,1,36,0,3229,
3232,6,294,254,0,
3275,5,129,89,0,
3318,6,254,214,0,
3361,5,89,49,0,
3404,6,214,174,0,
3447,5,49,9,0,
3490,6,174,134,0,
3533,5,9,0,3542,
3545,6,134,94,0,
3588,6,94,54,0,
3631,6,54,14,0,
3674,6,14,0,3688,
